discovery_probe	control 44	control 18	control 59	control 56	control 61	control 65	control 73	control 49	control 38	control 15	control 40	control 11	control 89	control 87	control 55	control 24	control 46	control 22	control 54	control 76	control 63	control 35	control 28	control 30	control 81	control 74	control 57	control 13	control 53	control 4	control 71	control 20	control 2	control 85	control 33	tumor   27	tumor   84	tumor   47	tumor   12	tumor   1	tumor   34	tumor   80	tumor   3	tumor   31	tumor   83	tumor   5	tumor   78	tumor   37	tumor   50	tumor   23	tumor   66	tumor   41	tumor   36	tumor   6	tumor   14	tumor   17	tumor   62	tumor   52	tumor   25	tumor   39	tumor   16	tumor   72	tumor   58	tumor   86	tumor   21	tumor   19	tumor   70	tumor   77	tumor   90	tumor   75
221132_at                  	10.1501156043956	9.43431868131868	9.07973043956044	8.24455285714286	9.65895461538462	8.78877934065934	10.1772462637363	8.3201078021978	7.64721252747252	9.94298032967033	10.2461283516484	9.91674857142858	11.0033307692308	9.84807285714286	8.3574734065934	9.01197384615385	6.63968230769231	9.48151846153846	7.89538802197802	10.3186725274725	11.163471978022	10.2335662637363	7.18984923076923	9.51077802197802	9.43898571428572	9.67187362637362	7.36006758241758	9.40326296703296	9.10404197802198	8.73066538461538	11.079543956044	9.5079656043956	10.5411450549451	10.4121263736264	9.59799626373626	6.63356934065934	5.72488076923077	3.86766065934066	4.34731263736264	4.13552835164835	7.68090912087912	3.68632208791209	4.17539274725275	4.37431516483517	4.78203846153846	4.22133989010989	4.04121791208791	4.44955791208791	3.66186769230769	5.3314232967033	4.34542175824176	5.58365978021978	4.47021703296703	4.14805384615384	3.94310241758242	8.08824406593406	3.65163692307692	4.32634384615385	3.98405406593407	4.94066186813187	4.30302538461538	5.42800362637363	4.38954516483517	6.05317994505495	4.2096521978022	3.80969483516483	4.68787181318682	4.52256021978022	6.45376417582417	4.0974410989011
206093_x_at                	9.96450879120879	9.01630912087912	8.88096593406594	8.30721670329671	9.1776210989011	8.94547263736264	8.8822510989011	9.98016362637363	9.29447692307692	9.68102010989011	9.25594351648351	9.59164846153846	9.30025098901099	8.85280065934066	8.04221417582418	9.18930978021979	9.48442197802198	9.6378889010989	9.29940384615384	8.8822510989011	8.51207945054945	9.06750923076924	9.75080659340659	10.0009615384615	8.82038681318682	9.28644769230769	10.2280369230769	10.5959945054945	8.88170043956044	7.92129461538462	8.95229868131868	8.48607956043956	8.96896637362637	9.3325817032967	10.5302010989011	8.03167857142857	6.5121589010989	5.89736972527473	5.70136505494506	6.25654505494506	7.58975142857143	5.07736527472527	5.8626378021978	6.69788516483517	5.74600912087912	8.12918692307692	5.23379494505495	5.50410978021978	6.00857186813187	6.83460934065934	6.41904637362638	5.97613615384615	5.52148010989011	5.20381505494505	6.00831016483516	7.39464824175824	5.61509186813187	5.44223483516484	5.43167318681319	6.15658521978022	5.67625615384615	5.49285747252747	6.3284143956044	6.18724164835165	7.78786703296703	6.01535373626374	5.37320769230769	5.78699406593406	6.08985736263736	6.35107835164835
206701_x_at                	9.66055142857143	8.26447032967033	8.61773846153846	7.51981131868131	8.64053967032967	8.33117560439561	9.08172956043956	7.75468813186813	7.89337983516483	9.02376296703297	7.61610879120879	8.94586098901099	8.45561516483517	8.62434857142857	7.68473945054945	8.42209241758242	6.77909153846154	8.89389615384615	7.11810516483516	9.54283241758242	9.62050615384615	8.67214175824176	8.73881736263736	6.77886802197803	8.62672406593406	9.03647769230769	7.15245692307693	7.84433472527473	7.86956417582418	6.94946593406593	8.67272626373627	8.44165318681319	9.05525351648352	9.04434802197803	7.64880065934066	6.08512978021978	5.16505615384616	5.53471978021978	4.47356494505495	4.68458692307692	6.75478681318681	5.36811461538462	4.65541527472528	4.6528443956044	5.97283758241758	4.80529197802198	5.44083164835165	4.80288879120879	5.29946197802198	5.52749857142857	5.16210758241758	5.65266873626374	4.45265835164835	4.44840725274725	4.74157296703297	5.91262604395604	5.31360120879121	4.69292076923077	4.88262714285714	4.82398065934066	5.13676681318681	4.91790340659341	6.21927032967033	6.6273421978022	5.56313060439561	4.62832439560439	4.89225428571429	5.37937615384616	4.58525747252747	6.39702417582418
230132_at                  	8.35253131868132	7.16082989010989	8.05068802197802	7.67958307692307	6.89728648351649	8.35667593406593	7.82815571428571	7.69885901098901	8.21241307692307	7.63564043956044	6.49747901098901	7.40863527472527	7.67350648351648	7.25104032967033	7.77953439560439	8.69366076923077	8.12896010989011	7.93184681318681	7.46238989010989	7.52735527472527	7.06868021978022	7.79729252747253	8.24481934065934	8.09726846153846	7.87615637362637	6.93566494505494	8.30695296703296	7.18547164835165	7.63419648351648	7.24878703296704	7.56051010989011	7.71052120879121	7.78851384615385	6.93173021978022	7.59478252747253	6.25595736263736	5.88946989010989	5.28956549450549	4.82554362637362	4.56259879120879	6.02087362637362	5.25055604395604	5.46499208791209	5.82229736263736	5.55698472527472	5.11952956043956	6.2410956043956	5.29002967032967	5.47129450549451	6.50328340659341	5.47938208791209	5.18470252747253	5.21403186813187	5.46793120879121	5.52670571428571	5.89778626373626	5.97072142857143	4.85295428571429	4.79332923076923	5.13403747252747	5.26245395604396	5.79766846153846	6.3110571978022	6.16143703296703	5.68930197802198	4.87575065934066	4.51799565934066	5.12243362637363	6.11980692307692	6.40286120879121
219719_at                  	8.8973489010989	9.1588167032967	7.7723921978022	9.03378395604396	8.30284681318681	8.9114467032967	8.66593148351649	9.18389208791209	8.57964598901099	8.56652769230769	7.02054846153846	8.95200593406594	8.17126307692308	7.71353747252747	7.61746395604396	8.53585307692308	9.26202131868132	8.83497120879121	8.87242791208791	8.82469186813187	7.5477234065934	8.26936175824176	8.58921615384615	8.12812032967033	8.95103395604396	8.60729065934066	8.19025340659341	9.17805439560439	7.05854549450549	8.25846263736263	7.92405214285714	8.05023285714286	8.42774285714285	7.10139989010989	7.86104285714286	6.54132478021978	5.82001912087912	5.54175296703297	5.49572450549451	5.11483	6.36431395604396	6.12037032967033	6.1786778021978	5.09676538461538	5.24098967032967	6.60440021978022	5.58750472527472	5.54996054945055	5.81945032967033	7.05879472527473	5.76851241758242	5.42266395604395	5.38120197802198	5.95634318681319	5.50238835164835	6.79946736263736	5.15493461538461	5.3625954945055	4.63024142857143	5.52781527472527	5.2873345054945	5.76447351648351	5.83375494505495	6.71091879120879	5.85216	5.26613219780219	5.22844994505495	5.71098142857143	6.04500769230769	7.53218846153846
226101_at                  	8.8346489010989	7.71030307692308	8.16954428571429	6.91952527472527	7.79595241758242	8.36236351648352	7.33725318681318	7.86062054945055	8.22310032967033	7.74128384615385	6.69472901098901	8.01832461538462	7.58181406593406	7.93947010989011	6.73085857142857	7.87130626373626	7.35812142857143	8.18749076923076	7.45235615384615	7.82782956043956	7.01250923076923	7.56799956043956	8.62187538461539	6.92952087912088	7.53699747252747	7.46101615384616	7.63966406593407	8.05532950549451	7.25124813186813	7.04391681318682	7.63407857142857	8.00124901098901	7.40115021978022	7.89639835164835	7.78499626373627	5.91552285714286	6.03291016483516	5.70753494505495	5.13547923076923	4.3467045054945	6.54836164835165	5.55186747252747	4.96385175824176	5.48517857142857	6.41553857142857	6.20999450549451	5.37671703296703	4.81083318681319	6.02047263736264	6.11522505494505	5.7633554945055	5.51888021978022	4.36397428571429	4.92772868131868	5.23303274725275	5.96218813186813	5.19868637362637	5.39626571428571	5.81887670329671	5.77301505494506	5.20858956043956	4.91353076923077	5.1821710989011	5.75327527472528	5.48723692307692	4.33571659340659	5.52863307692308	5.78404736263736	5.1623765934066	5.95808747252747
201890_at                  	5.50495670329671	5.60692648351648	6.59966868131868	7.15234879120879	5.8752056043956	6.35548258241758	5.02721681318681	5.32362175824176	6.34628461538462	5.2027821978022	5.98536983516484	5.90796714285714	5.31406923076923	5.17321791208791	6.84942505494505	4.97962472527472	6.59636989010989	6.12714406593407	6.4467671978022	6.45089615384615	4.50681197802198	5.84838318681319	5.79840692307693	5.46515571428571	5.24139274725275	5.80167505494505	5.52929494505494	5.05473120879121	5.19968131868132	6.62776131868132	5.32864582417582	6.28212417582418	5.46417296703297	4.99950934065934	4.74886115384615	8.89454285714286	7.23213791208791	11.1196076923077	10.9079879120879	10.2249450549451	8.26936175824176	9.04741978021978	10.2975241758242	10.271921978022	10.6040142857143	7.84385769230769	8.08876494505494	9.99286901098901	10.0842242857143	8.62491296703296	10.0078346153846	10.2526938461538	9.35790230769231	10.3856	9.55266615384616	10.0745368131868	9.60448978021978	10.7120956043956	9.77896395604396	9.39240879120879	10.6380637362637	9.99149483516484	8.89151296703297	10.7691901098901	8.59345230769231	7.54812	10.533078021978	9.61751054945054	8.43038252747253	9.35154780219781
219452_at                  	7.59861879120879	8.22158846153846	7.29122868131869	8.25244846153846	7.71813472527472	7.66588648351648	7.55542450549451	7.34743340659341	7.34544664835165	6.98288230769231	7.5835365934066	7.08680516483517	7.62892967032967	8.1609678021978	7.29083912087912	7.53270384615384	8.17515032967033	6.4786178021978	8.66176945054945	7.03377692307692	7.38772560439561	8.01486714285714	8.11042956043956	6.9408676923077	7.88073483516483	7.5353067032967	7.80546758241758	7.61524120879121	6.53634175824176	8.7821721978022	7.43871428571429	8.12454560439561	7.62828351648352	7.3124754945055	6.42322505494506	5.83095362637363	5.24687472527472	4.38347912087912	4.10236357142857	4.47178461538461	6.0325843956044	4.68837769230769	4.35041747252747	4.4420278021978	5.04762906593407	6.89320670329671	5.61936472527472	5.78365692307692	5.59934813186813	5.78856692307692	5.1557210989011	4.94341351648351	4.42229032967033	4.37670263736264	4.34398494505494	6.01429362637363	5.18171340659341	4.33161895604396	4.88480043956044	5.21897307692308	4.2714465934066	5.31611978021978	5.9403089010989	5.36956472527473	4.81274692307692	4.98598659340659	5.08109604395604	5.27530549450549	5.02355021978022	4.98195989010989
217871_s_at                	11.1664351648352	11.3765769230769	10.8202956043956	11.4894087912088	10.749421978022	10.9607428571429	10.785432967033	11.2664879120879	11.2129098901099	10.9492978021978	11.1503659340659	10.8906648351648	11.2917159340659	11.031567032967	11.317256043956	11.0711637362637	11.5477263736264	10.8243604395604	11.0522659340659	11.2178835164835	11.2449868131868	10.8388175824176	11.1196076923077	11.1211549450549	10.7149324175824	11.1322967032967	11.1026406593407	10.6736472527473	11.368156043956	11.268221978022	10.7736505494506	10.5562263736264	11.0147472527473	11.0161945054945	11.2097417582418	11.7859406593407	12.4427428571429	12.9179802197802	13.2111989010989	13.0044516483516	12.7461450549451	13.5109065934066	12.5970450549451	12.9035362637363	12.0532835164835	12.0635527472527	11.9326516483516	12.8637494505495	12.8199406593407	12.0462791208791	12.6061417582418	13.075656043956	12.6973373626374	13.3982593406593	12.3191274725275	12.9465747252747	12.7599043956044	12.7359076923077	12.5655527472527	12.5655527472527	13.1769615384615	12.8934461538462	12.6790637362637	12.8845175824176	12.2735824175824	11.9382857142857	12.7020615384615	12.5479989010989	12.5519956043956	12.675510989011
227874_at                  	9.9371023076923	8.58019934065934	9.12629241758242	7.98475978021978	8.97556692307692	8.23667697802198	9.46633648351648	9.53540362637363	9.60073494505495	9.93570076923077	8.38436340659341	8.90386868131868	9.18389208791209	8.96034186813187	8.76382164835165	9.46674274725275	8.71985296703297	9.42620747252747	8.12006560439561	9.24780329670329	9.54745296703296	9.58492967032967	9.35840032967033	8.99351230769231	9.45275967032966	9.35020681318681	8.91512505494505	9.76424978021978	8.51009241758242	7.98475978021978	9.29447692307692	8.13290192307693	9.16801923076923	9.09429065934066	9.51684230769231	7.42395912087912	5.29254857142857	5.67516956043956	4.60569043956044	4.06574395604396	7.65485197802198	4.90172461538462	4.7822921978022	4.15308868131868	5.60558	5.53986065934066	5.4765143956044	5.16014483516483	4.62908362637362	7.04236967032967	4.80198824175824	5.33375582417582	5.05945983516484	4.13038263736264	4.96094065934066	6.38796648351648	4.59515043956044	4.51826230769231	4.48965247252747	5.33164214285714	4.71856648351648	4.77039043956044	5.86625824175824	5.57783456043956	6.24912758241758	4.44243769230769	5.12819912087912	5.34430197802198	4.90603670329671	7.89393637362638
221133_s_at                	11.1149307692308	10.858989010989	10.1361469230769	9.84040967032967	10.463210989011	9.53149406593407	10.6027714285714	9.83817681318681	9.2402978021978	11.3012483516484	10.9329208791209	10.721178021978	11.5636406593407	10.5134494505495	8.93951978021978	10.2030208791209	8.77853450549451	10.4376296703297	9.80474197802198	10.8486395604396	11.5334549450549	10.8256615384615	8.44412934065934	10.3899912087912	9.95678857142857	10.3307934065934	8.85346725274725	10.7262956043956	9.64162197802198	9.71213615384615	11.5723197802198	10.6490527472527	11.2212318681319	11.4787967032967	10.5718879120879	7.70924461538462	6.33437538461538	3.89691791208791	3.94865516483517	3.77508714285714	8.6004289010989	3.64557714285714	4.21281945054945	3.83714917582418	4.10588	5.7162810989011	4.80057978021978	4.62662505494505	3.89669142857143	6.43288714285714	4.35875835164835	5.9764160989011	4.35960450549451	3.85308164835165	4.05210703296703	8.9321267032967	4.10261582417583	3.95939054945055	3.66389516483516	5.34561076923077	3.84165725274725	6.09606989010989	4.60183846153846	6.58863582417582	4.51966593406593	4.35524285714286	4.21395593406593	4.78944934065934	6.58053384615385	4.0417871978022
229529_at                  	8.14363428571428	7.44727989010989	6.83160197802198	7.3506332967033	7.20422274725275	6.82291054945055	6.99125	7.20362956043956	7.29507164835165	7.91181483516483	6.93297923076923	6.79101208791209	6.85176043956044	7.41816505494506	7.3558421978022	8.70800483516483	6.86962758241758	7.52364736263736	7.29163582417582	7.63300791208791	8.23110725274725	7.17017615384615	7.22107395604396	8.10755923076923	7.7355432967033	6.31003626373627	8.32736318681319	8.00944406593407	6.67656395604396	7.24343010989011	8.30540648351648	6.87777879120879	7.23578142857143	8.59499758241758	7.3902645054945	5.33023252747253	4.94420857142857	4.6548867032967	5.26459582417582	4.60656835164835	5.24286489010989	4.99217956043956	5.29440087912088	4.89807384615385	5.03938626373626	5.51749538461539	5.2148721978022	4.9038410989011	5.32127351648352	5.18424923076923	4.87613747252747	4.98464571428572	4.89464274725275	4.90812791208791	4.48022434065934	5.22638098901099	5.22317076923077	4.88072846153846	5.00278087912088	5.01800615384615	5.02561417582418	5.39349362637363	5.54648384615385	5.51110087912088	4.64729857142857	5.25669307692308	5.22824582417582	5.04249791208791	5.46173362637363	5.04429175824176
232122_s_at                	8.34914032967033	8.88710428571429	8.28917538461539	9.01800456043956	9.01491131868132	7.06317582417582	8.48965274725275	8.81987725274725	8.77853450549451	8.84852615384615	8.43788516483516	8.60638637362638	8.79580758241758	8.84069483516484	8.55380164835165	9.00790373626373	9.23525769230769	8.76868373626374	8.67671637362637	8.96140417582418	8.63406043956044	9.05525351648352	8.56957637362638	7.87903736263736	8.32605164835165	8.75627153846154	8.95200593406594	9.01820318681319	5.78515604395604	9.06750923076924	8.90263532967033	8.48020362637362	9.58492967032967	9.30858989010989	8.87313	4.91840318681319	6.8347921978022	3.80874802197802	3.46055912087912	4.00790835164835	6.66127912087912	4.7083617032967	3.30252483516484	4.12205769230769	4.47944494505495	4.74335604395604	3.8625156043956	4.13014659340659	7.5118278021978	5.2475078021978	3.91895131868132	4.86238087912088	3.93261010989011	3.53485868131868	4.171165	5.75639098901099	4.26058252747253	3.47975120879121	3.83393131868132	5.23613175824176	3.77918274725275	4.93368296703297	5.10810340659341	5.65697153846154	6.21157967032967	4.29167703296703	4.05796406593407	4.24901505494506	3.94198384615385	6.47294791208791
